"Feature"	"Gain"	"Cover"	"Frequency"
"286"	"mextraccion_autoservicio__min"	0.000267309347193703	0.000397100624652367	0.00140864910550782
"287"	"tseguro_vida_mercado_abierto"	0.000266520130327483	0.000228418596356199	0.000633892097478518
"288"	"mfondos_comunes_inversion_pesos__tend"	0.000264548154046998	0.00335939196386198	0.00133821665023243
"289"	"mcomisiones_otras__min"	0.000264397004545438	0.000104205253157861	0.00119735173968165
"290"	"ctransferencias_emitidas__max"	0.00026286204947761	0.000312231072922404	0.00133821665023243
"291"	"Visa_msaldototal__min"	0.000260581381904566	8.19889104831882e-05	0.00126778419495704
"292"	"Master_marca_atraso"	0.000256057638972224	0.000290282920992267	0.000704324552753909
"293"	"mttarjeta_visa_debitos_automaticos"	0.000252277071067965	0.000277136054240256	0.00105648682913086
"294"	"tcajas_consultas"	0.000248969822171399	0.00305557643316252	0.00112691928440625
"295"	"Master_mlimitecompra__max"	0.000247445048115338	3.64394167333701e-05	0.00119735173968165
"296"	"mtransferencias_emitidas__tend"	0.000245562233751262	0.000684707189933227	0.0015495140160586
"297"	"Master_fultimo_cierre__min"	0.000245309600174384	0.000121043228632068	0.00161994647133399
"298"	"mcambio_monedas_venta"	0.000244110982570683	0.000552732074378091	0.00133821665023243
"299"	"ctarjeta_visa_descuentos__tend"	0.000242949562787072	0.00147808116925465	0.00183124383716016
"300"	"mttarjeta_visa_debitos_automaticos__min"	0.00023682298052622	0.000164202258316896	0.00140864910550782
"301"	"mpagomiscuentas__min"	0.000233368454387732	0.00459556094419674	0.00126778419495704
"302"	"Master_fultimo_cierre__max"	0.000232346606060247	0.000180614559363566	0.00147908156078321
